"name","numfire_dkcost","cbs_fpts","espn_fpts","ffs_fpts","fftoday_fpts","fp_fpts","numfire_fpts","fft_fpts","hodges.lehmann","mean","risk","rank","best","worst","avg","sd","Ceiling","Floor","Tier"
"Rob Gronkowski",8100,17.99,17.73,17.22,19.5,12.49,17.335,19.5,17.7,17.4,2.4,1,1,7,1.6,1.2,19.8,15,3
"Antonio Gates",5000,16.15,9.78,15.72,20,10.84,9.21,20,14.8,14.5,4.6,2,1,9,2.3,1.2,19.1,9.9,3
"Greg Olsen",6100,11.33,12.97,10.26,20,11.56,9.756,20,12.8,13.7,4.4,3,1,11,3.5,1.6,18.1,9.3,3
"Travis Kelce",4900,10.16,10.78,10.66,19,10.73,9.792,19,10.8,12.9,4.2,4,1,17,4.8,2.4,17.1,8.7,2
"Jimmy Graham",5400,10.09,9.48,10.35,18.5,10.22,10.35,18.5,10.4,12.5,4.1,5,2,11,5,1.7,16.6,8.4,2
"Charles Clay",4300,8.27,8.81,10.05,16.5,10.23,11.808,16.5,11.5,11.7,3.4,6,3,21,8.4,2.7,15.1,8.3,2
"Delanie Walker",3900,7.48,10.52,10.09,18.5,9.5,7.393,18.5,10.4,11.7,4.8,7,3,18,8.5,2.6,16.5,6.9,2
"Jason Witten",4800,8.93,9.47,11.28,16.5,9.6,9.459,16.5,11.1,11.7,3.4,8,3,13,9.1,1.9,15.1,8.3,2
"Julius Thomas",4500,8.8,10.24,5.58,16.5,9.36,9.156,16.5,9.9,10.9,4.1,9,2,16,7.8,2.3,15,6.8,2
"Gary Barnidge",4900,9.33,8.03,7.36,16,8.96,8.376,16,9.2,10.6,3.8,10,3,20,7.1,2.6,14.4,6.8,2
"Jordan Cameron",3300,5.59,8.68,6.89,15.5,7.87,6.734,15.5,8.7,9.5,4.2,11,4,21,12.9,2.3,13.7,5.3,2
"Jordan Reed",4200,10.35,8.59,6.96,10,9.51,8.406,10,9.2,9.1,1.2,12,4,27,12.7,5.2,10.3,7.9,2
"Larry Donnell",3300,7.42,7.4,6.77,8,7.57,7.81,8,7.6,7.6,0.4,13,9,23,16.8,2.6,8,7.2,1
"Jared Cook",2800,6.63,6.3,6.61,7.5,7.02,7.073,7.5,6.9,6.9,0.5,14,15,31,21.5,2.8,7.4,6.4,1
"Heath Miller",2700,6.25,4.62,7.1,8,6.36,7.203,8,6.8,6.8,1.2,15,16,29,23.6,2.9,8,5.6,1
"Zach Ertz",3200,5.21,7.17,6.13,6.5,6.6,7.448,6.5,6.5,6.5,0.7,16,11,23,17.3,2.3,7.2,5.8,1
"Kyle Rudolph",3100,5.67,7.46,5.69,6.5,6.25,5.992,6.5,6.2,6.3,0.6,17,8,25,13.7,3.1,6.9,5.7,1
"Coby Fleener",3000,6.42,6.25,7.82,4,6.07,7.834,4,6.1,6.1,1.6,18,7,28,20.3,3.8,7.7,4.5,1
"Eric Ebron",3000,5.57,8.5,4.57,5,6.79,7.014,5,5.9,6.1,1.4,19,8,30,19.2,4.2,7.5,4.7,1
"Ladarius Green",2900,5.78,3.98,6.59,8,5.49,5.119,8,6,6.1,1.5,20,8,29,18.3,3.7,7.6,4.6,1
"Jacob Tamme",2900,4.84,5.46,5.28,6,5.84,5.733,6,5.6,5.6,0.4,21,2,23,14.1,3.3,6,5.2,1
"Dwayne Allen",2700,4.33,3.62,6.74,6.5,4.59,4.606,6.5,5.4,5.3,1.3,22,10,30,24.1,3.3,6.6,4,1
"Crockett Gillmore",2500,4.58,6.2,5.52,4.5,5.19,4.684,4.5,5,5,0.6,23,10,31,18,3.2,5.6,4.4,4
"Vernon Davis",3000,4.59,6.44,4.43,4,5.25,4.616,4,4.6,4.8,0.9,24,8,32,23.1,3.8,5.7,3.9,4
"Mychal Rivera",2500,3.61,3.24,5.3,4,3.92,4.133,4,4,4,0.6,25,23,40,29.6,3.7,4.6,3.4,4
"Garrett Graham",2500,3.92,3.15,3.36,4,3.5,4.068,4,3.7,3.7,0.4,26,32,43,38.4,3,4.1,3.3,4
"Brandon Myers",2500,3.66,4.69,2.52,4,3.37,2.035,4,3.6,3.5,0.9,27,22,32,28.3,3.1,4.4,2.6,4
"Maxx Williams",2600,4.12,3.75,2.47,4,3.63,2.789,4,3.6,3.5,0.6,28,21,38,29.8,3.4,4.1,2.9,4
"Luke Willson",2500,3.85,2.81,3.07,4,3.18,2.83,4,3.4,3.4,0.5,29,29,41,35.3,3.2,3.9,2.9,4
"Jermaine Gresham",2500,3.83,3.63,2.98,4,3.07,1.551,4,3.5,3.3,0.9,30,27,42,30.5,4.9,4.2,2.4,4
